NOME,CPF,VALOR_RECEBIDO,CHAVE_RECEBIDA
Billy Toy,602.930.414-72,3380.2525,566.705.282-81
Gary Brehmer,743.461.436-89,2072.6,629.855.325-33
Douglas Marshburn,524.503.334-11,19250.3566667,462.889.644-46
Jose Bruns,787.848.313-18,1727.16666667,462.889.644-46
Lavonne Thompson,944.631.269-30,2253.50166667,566.705.282-81
Eric Jones,828.158.336-60,2045.757,420.793.207-90
Jerry Saucedo,147.314.926-31,10831.963,964.373.283-98
Alan Shively,737.420.500-43,28875.535,420.793.207-90
Jennifer Coombs,877.455.376-58,2704.202,439.260.197-58
Suzanne Rickman,689.150.325-79,9524.78555556,136.637.436-54
Annie Burns,464.240.392-52,6760.505,420.793.207-90
Willie Simmons,923.621.196-78,2922.51,462.889.644-46
Hassie Malone,650.472.334-42,2590.75,462.889.644-46
Josephine Clark,846.672.219-86,1690.12625,629.855.325-33
Erica Rodgers,850.563.505-57,3380.2525,629.855.325-33
Thomas Garay,312.387.487-31,2486.41666667,964.373.283-98
Chris Hammons,399.681.747-10,42861.535,110.152.831-81
Paul Gallagher,122.694.980-30,1151.44444444,515.846.411-22
Geri Eargle,289.464.946-53,2131.21428571,566.705.282-81
Dawn Miller,901.377.250-68,57751.07,566.705.282-81
